Title,Type,Genres,Release Year,IMDB Average Rating,Available Countries
Star Trek: The Motion Picture,movie,"Adventure, Mystery, Sci-Fi",1979,6.4,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
Lost in Translation,movie,"Comedy, Drama",2003,7.7,AU
Star Trek II: The Wrath of Khan,movie,"Action, Adventure, Sci-Fi",1982,7.7,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
Star Trek III: The Search for Spock,movie,"Action, Adventure, Sci-Fi",1984,6.6,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
Breakfast at Tiffany's,movie,"Comedy, Drama, Romance",1961,7.6,"AT, CH, DE, FR, GB, IE, IT, US"
Back to the Future Part II,movie,"Adventure, Comedy, Sci-Fi",1989,7.8,AU
Star Trek IV: The Voyage Home,movie,"Adventure, Comedy, Sci-Fi",1986,7.3,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
Star Trek V: The Final Frontier,movie,"Action, Adventure, Fantasy",1989,5.5,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
Star Trek VI: The Undiscovered Country,movie,"Action, Adventure, Sci-Fi",1991,7.2,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
The Big Blue,movie,"Adventure, Drama, Sport",1988,7.5,DE
Saw,movie,"Horror, Mystery, Thriller",2004,7.6,"BR, CL, CO, IN, MX"
Minority Report,movie,"Action, Crime, Mystery",2002,7.6,"CA, FR, US"
Jackie Brown,movie,"Crime, Drama, Thriller",1997,7.5,"BR, CL, CO, IN, MX"
Sin City,movie,"Crime, Thriller",2005,8.0,DE
Sin City: A Dame to Kill For,movie,"Action, Crime, Thriller",2014,6.5,"BR, IN, US"
Star Trek: Generations,movie,"Action, Adventure, Mystery",1994,6.6,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
Amélie,movie,"Comedy, Romance",2001,8.3,DE
Back to the Future Part III,movie,"Adventure, Comedy, Sci-Fi",1990,7.4,AU
Braveheart,movie,"Biography, Drama, War",1995,8.3,"CA, US"
Star Trek: First Contact,movie,"Action, Adventure, Drama",1996,7.6,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
Star Trek: Insurrection,movie,"Action, Adventure, Sci-Fi",1998,6.4,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
Star Trek: Nemesis,movie,"Action, Adventure, Sci-Fi",2002,6.4,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
Mean Streets,movie,"Crime, Drama, Thriller",1973,7.2,DE
The Wages of Fear,movie,"Adventure, Drama, Thriller",1953,8.1,GB
North by Northwest,movie,"Adventure, Drama, Mystery",1959,8.3,CA
Saw III,movie,"Horror, Mystery, Thriller",2006,6.2,"BR, CL, CO, IN, MX"
Saw II,movie,"Horror, Mystery",2005,6.6,"BR, CL, CO, IN, MX"
Ali: Fear Eats the Soul,movie,"Drama, Romance",1974,8.0,"DE, GB"
Indiana Jones and the Kingdom of the Crystal Skull,movie,"Action, Adventure",2008,6.2,"AR, AU, BO, BR, CL, CO, CR, DO, EC, GT, HN, MX, NI, PA, PE, PY, SV, US, VE"
Volver,movie,"Comedy, Drama",2006,7.6,DE
The Outsiders,movie,"Crime, Drama",1983,7.0,DE
Muriel's Wedding,movie,"Comedy, Drama",1994,7.2,DE
The Godfather,movie,"Crime, Drama",1972,9.2,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
Some Like It Hot,movie,"Comedy, Music, Romance",1959,8.2,BR
The Godfather Part II,movie,"Crime, Drama",1974,9.0,"AT, AU, CA, CH, DE, FR, GB, IE, IT, US"
Natural Born Killers,movie,"Crime, Romance",1994,7.2,DE
The Godfather Part III,movie,"Crime, Drama",1990,7.6,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
King Kong,movie,"Adventure, Horror",1933,7.9,DE
About a Boy,movie,"Comedy, Drama, Romance",2002,7.1,AU
Ghost,movie,"Drama, Fantasy, Romance",1990,7.1,"AT, CA, CH, DE, FR, GB, IE, US"
King Kong,movie,"Action, Adventure, Romance",2005,7.2,"AU, US"
Stolen Kisses,movie,"Comedy, Drama, Romance",1968,7.5,"DE, GB"
Antoine and Colette,movie,"Comedy, Drama, Romance",1962,7.5,DE
Bed & Board,movie,"Comedy, Drama, Romance",1970,7.4,"DE, GB"
Love on the Run,movie,"Comedy, Drama, Romance",1979,7.0,"DE, GB"
The King of Comedy,movie,"Comedy, Crime, Drama",1982,7.8,DE
Live Flesh,movie,Drama,1997,7.3,DE
Breathless,movie,"Crime, Drama",1960,7.7,DE
The Silence of the Lambs,movie,"Crime, Drama, Thriller",1991,8.6,"BR, CL, CO, MX"
Terminator 2: Judgment Day,movie,"Action, Adventure, Sci-Fi",1991,8.6,US
The Apartment,movie,"Comedy, Drama, Romance",1960,8.3,BR
Bull Durham,movie,"Comedy, Romance, Sport",1988,7.0,"CL, CO, MX"
Swimming Pool,movie,"Crime, Drama, Mystery",2003,6.7,"AT, CH, DE, FR"
Beverly Hills Cop III,movie,"Action, Comedy, Crime",1994,5.5,"AR, AT, AU, BO, BR, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
"Rome, Open City",movie,"Drama, Thriller, War",1945,8.0,GB
The Celebration,movie,Drama,1998,8.0,DE
Once Upon a Time in America,movie,"Crime, Drama",1984,8.3,US
Snow Cake,movie,"Drama, Romance",2006,7.4,US
The Million Dollar Hotel,movie,"Drama, Mystery, Thriller",2000,5.7,US
Insomnia,movie,"Drama, Mystery, Thriller",2002,7.2,US
Snakes on a Plane,movie,"Action, Adventure, Crime",2006,5.5,"CA, US"
Jurassic Park,movie,"Action, Adventure, Sci-Fi",1993,8.2,"AU, US"
The Lost World: Jurassic Park,movie,"Action, Adventure, Sci-Fi",1997,6.6,"AU, US"
Jurassic Park III,movie,"Action, Adventure, Sci-Fi",2001,5.9,"AU, US"
Bollywood/Hollywood,movie,"Comedy, Drama, Musical",2002,5.9,CA
Magnolia,movie,Drama,1999,8.0,US
"Duck, You Sucker!",movie,"Drama, War, Western",1971,7.6,BR
Night on Earth,movie,"Comedy, Drama",1991,7.7,DE
Eyes Wide Shut,movie,"Drama, Mystery, Thriller",1999,7.5,US
Seven Samurai,movie,"Action, Drama",1954,8.6,GB
Head-On,movie,"Drama, Romance",2004,7.9,DE
To Catch a Thief,movie,"Mystery, Romance, Thriller",1955,7.4,"DE, US"
Das Boot,movie,"Drama, War",1981,8.4,GB
Inside Man,movie,"Crime, Drama, Mystery",2006,7.6,"AU, US"
Chocolat,movie,"Drama, Romance",2000,7.2,US
Kill Bill: Vol. 2,movie,"Action, Crime, Thriller",2004,8.0,"BR, CL, CO, MX"
Capote,movie,"Biography, Crime, Drama",2005,7.3,"BR, CL, CO, MX"
The Straight Story,movie,"Biography, Drama",1999,8.0,DE
La haine,movie,"Crime, Drama",1995,8.1,GB
The English Patient,movie,"Drama, Romance, War",1996,7.4,US
8½,movie,Drama,1963,8.0,GB
The Pianist,movie,"Biography, Drama, Music",2002,8.5,"BR, CL, CO, DE, IN, MX"
My Uncle,movie,Comedy,1958,7.7,DE
Cube,movie,"Horror, Mystery, Sci-Fi",1997,7.1,IN
The Day After Tomorrow,movie,"Action, Adventure, Sci-Fi",2004,6.5,US
Cube²: Hypercube,movie,"Horror, Mystery, Sci-Fi",2002,5.5,IN
La Dolce Vita,movie,"Comedy, Drama",1960,8.0,DE
Caché,movie,"Drama, Mystery, Thriller",2005,7.3,GB
The Idiots,movie,"Comedy, Drama",1998,6.7,DE
A Beautiful Mind,movie,"Biography, Drama, Mystery",2001,8.2,"AT, CH, FR, GB, IE, IT"
As It Is in Heaven,movie,"Comedy, Drama, Music",2004,7.5,DE
Stranger Than Paradise,movie,"Comedy, Drama",1984,7.4,DE
Shaft,movie,"Action, Crime, Thriller",2000,6.0,US
Good Will Hunting,movie,"Drama, Romance",1997,8.3,"AU, DE, US"
The Seventh Seal,movie,"Drama, Fantasy",1957,8.1,"DE, GB"
The Green Mile,movie,"Crime, Drama, Fantasy",1999,8.6,AU
Cléo from 5 to 7,movie,"Comedy, Drama, Music",1962,7.8,GB
Reservoir Dogs,movie,"Crime, Thriller",1992,8.3,"BR, CL, CO, IN, MX"
Love Actually,movie,"Comedy, Drama, Romance",2003,7.6,AU
Notting Hill,movie,"Comedy, Drama, Romance",1999,7.2,AU
Requiem,movie,"Drama, Horror",2006,6.9,US
Casino,movie,"Crime, Drama",1995,8.2,"AU, DE"
The Blues Brothers,movie,"Adventure, Comedy, Crime",1980,7.9,AU
Flashdance,movie,"Drama, Music, Romance",1983,6.2,"AR, AT, BO, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
Psycho,movie,"Horror, Mystery, Thriller",1960,8.5,AU
There's Something About Mary,movie,"Comedy, Romance",1998,7.1,US
Rashomon,movie,"Crime, Drama, Mystery",1950,8.2,GB
The Poseidon Adventure,movie,"Action, Adventure, Drama",1972,7.1,US
The Mummy,movie,"Action, Adventure, Fantasy",1999,7.1,AU
The Ring,movie,"Horror, Mystery",2002,7.1,IT
Apollo 13,movie,"Adventure, Drama, History",1995,7.7,AU
The Birds,movie,"Drama, Horror, Mystery",1963,7.6,AU
Jaws,movie,"Adventure, Drama, Horror",1975,8.1,AU
Jaws: The Revenge,movie,"Adventure, Horror, Thriller",1987,3.0,AU
2 Fast 2 Furious,movie,"Action, Crime, Thriller",2003,5.9,AU
Silent Hill,movie,"Horror, Mystery",2006,6.5,CA
The Hours,movie,"Drama, Romance",2002,7.5,"AU, US"
The Da Vinci Code,movie,"Mystery, Thriller",2006,6.6,US
The Conversation,movie,"Drama, Mystery, Thriller",1974,7.7,"AT, CH, DE, FR, GB, IE, IT, US"
The Terminal,movie,"Comedy, Drama, Romance",2004,7.4,"AT, CA, CH, DE, FR, GB, IE, IT, US"
Titanic,movie,"Drama, Romance",1997,7.9,"CA, US"
Sunset Boulevard,movie,"Drama, Film-Noir",1950,8.4,"AT, CH, DE, FR, GB, IE, IT, US"
E.T. the Extra-Terrestrial,movie,"Adventure, Family, Sci-Fi",1982,7.9,AU
Munich,movie,"Drama, History, Thriller",2005,7.5,"AT, CH, DE, FR, GB, IE, IT"
Wild Strawberries,movie,"Drama, Romance",1957,8.1,"DE, GB"
Wild Things,movie,"Crime, Drama, Mystery",1998,6.6,US
Grease,movie,"Comedy, Musical, Romance",1978,7.2,"AT, CA, CH, DE, FR, GB, IE, IT, US"
The Ninth Gate,movie,"Mystery, Thriller",1999,6.7,"BR, CL, CO, IN, MX"
The Killing Fields,movie,"Biography, Drama, History",1984,7.8,DE
Un chien andalou,movie,"Fantasy, Horror, Short",1929,7.6,GB
Sunrise,movie,"Drama, Romance",1927,8.1,GB
Bridget Jones's Diary,movie,"Comedy, Drama, Romance",2001,6.8,AU
Angel Heart,movie,"Horror, Mystery, Thriller",1987,7.2,US
Life Is Beautiful,movie,"Comedy, Drama, Romance",1997,8.6,IT
Catch Me If You Can,movie,"Biography, Crime, Drama",2002,8.1,"CA, US"
Requiem for a Dream,movie,Drama,2000,8.3,IN
Battleship Potemkin,movie,"Drama, History, Thriller",1925,7.9,GB
A.I. Artificial Intelligence,movie,"Adventure, Drama, Sci-Fi",2001,7.2,"AT, CA, CH, DE, FR, GB, IE, IT, US"
Beauty and the Beast,movie,"Drama, Fantasy, Romance",1946,7.9,GB
Belle de Jour,movie,"Drama, Romance",1967,7.6,DE
Troy,movie,"Adventure, Drama",2004,7.3,CA
Nosferatu: A Symphony of Horror,movie,"Fantasy, Horror",1922,7.8,GB
"Paris, Texas",movie,Drama,1984,8.1,GB
The Marriage of Maria Braun,movie,"Drama, Romance",1979,7.7,"DE, GB"
Saw IV,movie,"Horror, Mystery, Thriller",2007,5.9,"BR, CO, IN, MX"
Oldboy,movie,"Action, Drama, Mystery",2003,8.3,"AU, DE, GB, IT"
Pulp Fiction,movie,"Crime, Drama",1994,8.9,"AT, CH, DE, FR, GB, IE, IT"
Dead Man Walking,movie,"Crime, Drama",1995,7.5,"BR, CL, CO, MX"
Pickpocket,movie,"Crime, Drama",1959,7.6,GB
Meet the Fockers,movie,"Comedy, Romance",2004,6.3,"AT, AU, CH, DE, FR, GB, IE, IT"
Effi Briest,movie,"Drama, History",1974,6.9,DE
The Piano,movie,"Drama, Music, Romance",1993,7.5,DE
Together,movie,"Comedy, Drama, Romance",2000,7.4,GB
Top Gun,movie,"Action, Drama",1986,6.9,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
Shaun of the Dead,movie,"Comedy, Horror",2004,7.9,"AU, US"
Face/Off,movie,"Action, Crime, Sci-Fi",1997,7.3,"CA, US"
From Dusk Till Dawn,movie,"Action, Crime, Horror",1996,7.2,"AT, CH, DE, FR, GB, IE, IT"
Monty Python and the Holy Grail,movie,"Adventure, Comedy, Fantasy",1975,8.2,"CA, US"
Evil Dead II,movie,"Comedy, Horror",1987,7.7,"AT, BR, CH, CL, CO, MX"
Army of Darkness,movie,"Comedy, Horror",1992,7.4,BR
A Trip to the Moon,movie,"Adventure, Comedy, Fantasy",1902,8.1,DE
The Rules of the Game,movie,"Comedy, Drama",1939,7.9,GB
The Grand Illusion,movie,"Drama, War",1937,8.1,DE
Monsieur Hulot's Holiday,movie,Comedy,1953,7.3,DE
Vampyr,movie,"Fantasy, Horror",1932,7.4,GB
The Passion of Joan of Arc,movie,"Biography, Drama, History",1928,8.1,"DE, GB"
Gandhi,movie,"Biography, Drama, History",1982,8.0,AU
Persona,movie,"Drama, Thriller",1966,8.0,"DE, GB"
Annaluise & Anton,movie,"Comedy, Drama, Family",1999,7.0,DE
Roman Holiday,movie,"Comedy, Drama, Romance",1953,8.0,"AT, CH, DE, FR, GB, IE, IT"
Rosemary's Baby,movie,"Drama, Horror",1968,8.0,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
Shrek,movie,"Adventure, Animation, Comedy",2001,7.9,AU
Shrek 2,movie,"Adventure, Animation, Comedy",2004,7.4,AU
Shrek the Third,movie,"Adventure, Animation, Comedy",2007,6.1,AU
Airplane!,movie,Comedy,1980,7.7,"AT, AU, CA, CH, DE, FR, GB, IE, IT"
An American Werewolf in London,movie,"Comedy, Horror",1981,7.5,"BR, CL, CO, IN, MX"
Animal Farm,movie,"Comedy, Drama, Family",1999,6.0,AU
JFK,movie,"Drama, History, Thriller",1991,8.0,DE
The Bridge on the River Kwai,movie,"Adventure, Drama, War",1957,8.1,AU
Chinatown,movie,"Drama, Mystery, Thriller",1974,8.1,"AT, CH, DE, FR, GB, IE, IT"
M,movie,"Crime, Mystery, Thriller",1931,8.3,GB
Dune,movie,"Action, Adventure, Sci-Fi",1984,6.3,"BR, CL, CO, IN, MX"
Dragonslayer,movie,"Action, Adventure, Fantasy",1981,6.6,US
Enemy at the Gates,movie,"Action, Drama, War",2001,7.5,US
Black Hawk Down,movie,"Action, Drama, History",2001,7.7,CA
Saving Private Ryan,movie,"Drama, War",1998,8.6,"CA, DE, US"
WarGames,movie,"Action, Drama, Sci-Fi",1983,7.1,BR
Total Recall,movie,"Action, Adventure, Sci-Fi",1990,7.5,"BR, CL, CO, MX, US"
The Running Man,movie,"Action, Sci-Fi, Thriller",1987,6.6,US
Finding Neverland,movie,"Biography, Drama, Family",2004,7.7,US
Tsotsi,movie,"Crime, Drama",2005,7.2,DE
Hook,movie,"Adventure, Comedy, Family",1991,6.8,US
Coffee and Cigarettes,movie,"Comedy, Drama, Music",2003,7.0,DE
The Flintstones,movie,"Comedy, Family, Fantasy",1994,5.0,AU
The Flintstones in Viva Rock Vegas,movie,"Comedy, Family, Romance",2000,3.7,AU
Delicatessen,movie,"Comedy, Crime",1991,7.5,"AT, CH, DE, FR"
Birdman of Alcatraz,movie,"Biography, Crime, Drama",1962,7.8,"CL, CO, MX"
Bringing Up Baby,movie,Comedy,1938,7.8,"DE, US"
City Lights,movie,"Comedy, Drama, Romance",1931,8.5,DE
Pandora's Box,movie,"Crime, Drama, Romance",1929,7.7,GB
The Thomas Crown Affair,movie,"Crime, Drama, Romance",1968,6.9,"BR, CL, CO, MX"
The Thomas Crown Affair,movie,"Crime, Romance, Thriller",1999,6.9,"BR, CL, CO, MX"
The Great Dictator,movie,"Comedy, Drama, War",1940,8.4,DE
Mother India,movie,"Action, Comedy, Drama",1957,7.8,"AU, IN, US"
Dead Man,movie,"Adventure, Comedy, Drama",1995,7.5,DE
Dawn of the Dead,movie,Horror,2004,7.2,"AU, US"
Do the Right Thing,movie,"Comedy, Drama",1989,7.9,US
Murderers Among Us,movie,"Drama, Romance, Thriller",1946,7.4,DE
The Pink Panther,movie,"Comedy, Crime, Romance",1963,7.0,"CL, CO, MX"
Halloween,movie,"Horror, Thriller",1978,7.7,"CA, US"
Heat,movie,"Action, Crime, Drama",1995,8.3,US
Kindergarten Cop,movie,"Action, Comedy, Crime",1990,6.2,AU
Madagascar,movie,"Adventure, Animation, Comedy",2005,6.9,AU
Mission: Impossible,movie,"Action, Adventure, Thriller",1996,7.2,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
Mission: Impossible II,movie,"Action, Adventure, Thriller",2000,6.1,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
Mission: Impossible III,movie,"Action, Adventure, Thriller",2006,6.9,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
Spaceballs,movie,"Adventure, Comedy, Sci-Fi",1987,7.1,BR
The Gold Rush,movie,"Adventure, Comedy, Drama",1925,8.1,DE
The Magnificent Seven,movie,"Action, Adventure, Drama",1960,7.7,"BR, CL, CO, MX"
Irreversible,movie,"Crime, Drama, Mystery",2002,7.3,"AT, CA, CH, DE, FR, US"
Eraserhead,movie,"Fantasy, Horror",1977,7.3,DE
The Man Who Fell to Earth,movie,"Drama, Sci-Fi",1976,6.6,DE
Sherlock Jr.,movie,"Action, Comedy, Romance",1924,8.2,GB
Mulholland Drive,movie,"Drama, Mystery, Thriller",2001,7.9,DE
Sommersby,movie,"Drama, Mystery, Romance",1993,6.3,DE
Breathless,movie,"Action, Drama, Romance",1983,6.0,"CL, CO, MX"
The Hidden Fortress,movie,"Adventure, Drama",1958,8.0,GB
Point Break,movie,"Action, Crime, Thriller",1991,7.3,"AR, AT, BO, CH, CL, CO, CR, DO, EC, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, VE"
The Thing,movie,"Horror, Mystery, Sci-Fi",1982,8.2,US
Escape from New York,movie,"Action, Adventure, Sci-Fi",1981,7.1,"BR, CL, CO, MX"
The Wind that Shakes the Barley,movie,"Drama, War",2006,7.5,US
Catch a Fire,movie,"Biography, Drama, History",2006,6.7,US
Dreamgirls,movie,"Drama, Musical",2006,6.6,"AT, CA, CH, DE, FR, GB, IE, IT, US"
Babel,movie,Drama,2006,7.5,US
The Queen,movie,"Biography, Drama",2006,7.3,FR
The Talented Mr. Ripley,movie,"Crime, Drama, Thriller",1999,7.4,"AT, CH, DE, FR, GB, IE, IT, US"
The Remains of the Day,movie,"Drama, Romance",1993,7.8,AU
Rocky Balboa,movie,"Drama, Sport",2006,7.1,"BR, CL, CO, MX, US"
Hannibal Rising,movie,"Adventure, Crime, Drama",2007,6.1,US
Hollywoodland,movie,"Biography, Crime, Drama",2006,6.5,"AT, CH, DE, FR, GB, IE, IT"
Letters from Iwo Jima,movie,"Action, Adventure, Drama",2006,7.8,US
Lonely Hearts,movie,"Biography, Crime, Drama",2006,6.4,"AR, BR, CL, CO, MX"
Because I Said So,movie,"Comedy, Romance",2007,5.6,US
Street Kings,movie,"Action, Crime, Thriller",2008,6.8,DE
American Psycho,movie,"Crime, Drama, Horror",2000,7.6,"BR, CL, CO, IN, MX"
Monster's Ball,movie,"Drama, Romance",2001,7.0,IN
Rocky,movie,"Drama, Sport",1976,8.1,"BR, CL, CO, MX"
Rocky II,movie,"Drama, Sport",1979,7.3,"BR, CL, CO, MX"
First Blood,movie,"Action, Adventure, Thriller",1982,7.7,"BR, CL, CO, MX"
Rambo: First Blood Part II,movie,"Action, Adventure, Thriller",1985,6.5,"CA, US"
Rambo III,movie,"Action, Adventure, Thriller",1988,5.8,"BR, CA, CL, CO, MX, US"
Rocky III,movie,"Drama, Sport",1982,6.8,"BR, CL, CO, MX"
Rocky IV,movie,"Drama, Sport",1985,6.9,"BR, CL, CO, MX"
Rocky V,movie,"Drama, Sport",1990,5.4,"BR, CL, CO, MX"
Houseboat,movie,"Comedy, Drama, Family",1958,6.6,"CA, US"
The Fountain,movie,"Drama, Mystery, Romance",2006,7.2,PT
Me and You and Everyone We Know,movie,"Comedy, Drama",2005,7.2,US
Out of Sight,movie,"Comedy, Crime, Drama",1998,7.0,"AU, US"
Duel at Diablo,movie,"Drama, Thriller, Western",1966,6.5,"CL, CO, MX"
"Sex, Lies, and Videotape",movie,Drama,1989,7.2,GB
Pan's Labyrinth,movie,"Drama, Fantasy, War",2006,8.2,CA
Perfume: The Story of a Murderer,movie,"Crime, Drama, Fantasy",2006,7.5,"IN, US"
Once Upon a Time in Mexico,movie,"Action, Crime, Thriller",2003,6.3,US
The Contract,movie,"Action, Crime, Drama",2006,5.6,"AR, BR, CL, CO, MX"
The Virgin Suicides,movie,"Drama, Romance",1999,7.2,US
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,movie,"Action, Adventure, Comedy",1991,6.0,AU
Teenage Mutant Ninja Turtles,movie,"Action, Adventure, Comedy",1990,6.8,"AU, IE"
Teenage Mutant Ninja Turtles III,movie,"Action, Adventure, Comedy",1993,4.8,"AU, US"
Changing Lanes,movie,"Drama, Thriller",2002,6.5,US
Collateral,movie,"Action, Crime, Drama",2004,7.5,"DE, US"
Ghost World,movie,"Comedy, Drama",2001,7.3,GB
Flatliners,movie,"Drama, Horror, Sci-Fi",1990,6.6,US
Parenthood,movie,"Comedy, Drama",1989,7.1,AU
Down by Law,movie,"Comedy, Crime, Drama",1986,7.6,DE
